hotel_type,booking_status,advance_booking_days,arrival_year,arrival_month,arrival_week,arrival_day,weekend_nights,weekday_nights,num_adults,num_children,num_infants,meal_plan,guest_country,booking_segment,booking_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room,assigned_room,modifications,deposit_type,travel_agent_id,corporate_id,waiting_days,customer_category,avg_daily_rate,parking_spaces,special_requests,reservation_status,reservation_date,total_stay_nights,booking_season,family_booking,total_guests,is_long_stay
Luxury Resort,1,2,2016,June,24,5,1,0,2,0.0,0,SB,Unknown,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,109.0,0,1,Cancelled,04-06-2016,1,Summer,0,2.0,0
Urban Hotel,1,82,2016,September,38,15,0,3,2,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,149.4,0,1,Cancelled,12-09-2016,3,Autumn,0,2.0,0
Luxury Resort,0,62,2015,August,34,20,2,8,2,0.0,0,SB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,Not Applicable,0,Regular,104.0,0,0,Checked-Out,30-08-2015,10,Summer,0,2.0,1
Urban Hotel,0,133,2016,May,21,17,0,3,2,0.0,0,SB,NLD,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,Not Applicable,0,Regular-Party,105.3,0,0,Checked-Out,20-05-2016,3,Spring,0,2.0,0
Luxury Resort,1,87,2016,August,33,12,1,2,2,1.0,0,SB,BRA,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,Not Applicable,0,Regular,204.0,0,0,Cancelled,02-06-2016,3,Summer,1,3.0,0
Urban Hotel,0,15,2016,September,39,20,0,1,2,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,Not Applicable,0,Regular,139.0,0,1,Checked-Out,21-09-2016,1,Autumn,0,2.0,0
Urban Hotel,0,51,2016,July,29,15,0,1,2,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,94.5,0,0,Checked-Out,16-07-2016,1,Summer,0,2.0,0
Urban Hotel,1,327,2015,September,37,9,0,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,1,0,A,A,0,Non Refund,1.0,Not Applicable,0,Regular-Party,62.0,0,0,Cancelled,02-07-2015,2,Autumn,0,2.0,0
Urban Hotel,0,138,2017,May,21,27,2,3,1,0.0,0,SB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,Not Applicable,0,Regular,90.09,0,1,Checked-Out,01-06-2017,5,Spring,0,1.0,0
Urban Hotel,1,228,2017,May,21,24,0,4,3,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,157.5,0,1,Cancelled,22-10-2016,4,Spring,0,3.0,0
Urban Hotel,0,3,2016,November,46,9,0,4,2,2.0,0,SB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,Not Applicable,0,Regular,246.25,0,1,Checked-Out,13-11-2016,4,Autumn,1,4.0,0
Urban Hotel,1,52,2016,December,50,7,0,3,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,79.2,0,2,Cancelled,18-10-2016,3,Winter,0,2.0,0
Luxury Resort,0,28,2017,March,11,17,2,5,2,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,68.0,0,0,Checked-Out,24-03-2017,7,Spring,0,2.0,1
Luxury Resort,0,96,2017,March,11,12,4,7,1,0.0,0,HB,GBR,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular-Party,33.27,0,0,Checked-Out,23-03-2017,11,Spring,0,1.0,1
Urban Hotel,0,35,2015,October,42,17,1,1,2,0.0,0,SB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,104.85,1,1,Checked-Out,19-10-2015,2,Autumn,0,2.0,0
Urban Hotel,1,51,2016,August,34,18,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,125.1,0,0,Cancelled,08-07-2016,2,Summer,0,2.0,0
Luxury Resort,0,4,2016,March,13,21,1,0,1,0.0,0,SB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,154.0,0,Regular,27.0,0,0,Checked-Out,22-03-2016,1,Spring,0,1.0,0
Urban Hotel,1,121,2017,August,32,10,2,5,2,0.0,0,SB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,Not Applicable,0,Regular,112.5,0,0,Cancelled,18-04-2017,7,Summer,0,2.0,1
Urban Hotel,0,207,2017,February,8,24,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,9.0,Not Applicable,0,Regular,79.2,0,1,Checked-Out,26-02-2017,2,Winter,0,2.0,0
Luxury Resort,0,0,2017,February,8,20,1,0,1,0.0,0,SB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,48.0,0,0,Checked-Out,21-02-2017,1,Winter,0,1.0,0
Urban Hotel,1,95,2016,May,19,7,0,1,2,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,126.9,0,0,Cancelled,28-03-2016,1,Spring,0,2.0,0
Urban Hotel,0,17,2017,April,17,28,1,2,2,0.0,1,SB,FRA,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9.0,Not Applicable,0,Regular,130.5,0,2,Checked-Out,01-05-2017,3,Spring,1,3.0,0
Urban Hotel,0,44,2015,August,34,22,2,1,2,0.0,0,HB,ITA,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,1.0,Not Applicable,0,Regular-Party,86.0,0,0,Checked-Out,25-08-2015,3,Summer,0,2.0,0
Luxury Resort,1,1,2017,June,22,2,0,2,1,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,348.0,Not Applicable,0,Regular,105.0,0,0,Cancelled,01-06-2017,2,Summer,0,1.0,0
Luxury Resort,0,214,2016,April,16,11,2,5,2,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,52.2,0,2,Checked-Out,18-04-2016,7,Spring,0,2.0,1
Urban Hotel,1,39,2017,March,12,24,1,2,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,Not Applicable,0,Regular,91.33,0,3,No-Show,24-03-2017,3,Spring,0,2.0,0
